acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,id,name
0.296,0.779,0.731,0,0.128,0.0306,0.814,4WFgvKVfEhb3IUAFGrutTR,Love Me Not
0.122,0.731,0.685,0,0.317,0.0572,0.811,42UBPzRMh5yyz0EDPr6fr1,Manchild
0.739,0.446,0.682,9.51e-06,0.0562,0.0497,0.382,6qqrTXSdwiJaq8SO0X2lSe,Ordinary
9.37e-05,0.436,0.723,8.82e-05,0.0929,0.0301,0.235,0FTmksd2dxiE5e3rWyJXs6,back to friends
0.214,0.554,0.808,0,0.159,0.0368,0.372,7ne4VBA60CxGM75vw0EYad,That’s So True
0.308,0.521,0.592,0,0.122,0.0304,0.535,2plbrEY59IikOBgBGLjaoe,Die With A Smile
0.0767,0.656,0.796,0,0.509,0.113,0.425,2yWlGEgEfPot0lv3OAjuG3,Just Keep Watching (From F1® The Movie)
0.2,0.747,0.507,0.0608,0.117,0.0358,0.438,6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER
0.19,0.671,0.697,0,0.393,0.116,0.848,221eHga9f9Ne4f8D7WVgPT,Mystical Magical
0.274,0.707,0.68,0,0.0932,0.0884,0.62,3nHuKdFJZm78CoeBnDcFKe,Bad Dreams
0.251,0.707,0.575,0,0.248,0.125,0.576,45J4avUb9Ni0bnETYaYFVJ,luther (with sza)
0.105,0.797,0.549,0.00343,0.123,0.0373,0.647,3SKH53SPQbEnZR4cJPVaz2,Messy
0.0212,0.714,0.691,0.000292,0.111,0.0434,0.155,5ITV0zqzjOYfFWpW0xBmRa,Show Me Love
0.255,0.621,0.779,0,0.0683,0.056,0.513,0qmhTHMVxnXRmT5N92wTD9,Bloodline (with Jelly Roll)
0.639,0.657,0.699,0,0.148,0.0262,0.495,04emojnbYkrRmv5qtJcgVP,What I Want (feat. Tate McRae)
0.00255,0.663,0.899,0,0.065,0.0473,0.876,0GRc3eGTg8HBdWLRGYgqIc,Azizam
